name	file	side	url	notes
TerraFirmaCraft	TerraFirmaCraft-NeoForge-1.21.1-4.1.1.jar	both	https://cdn.modrinth.com/data/JaCEZUhg/versions/3FO3as07/TerraFirmaCraft-NeoForge-1.21.1-4.1.1.jar	Core TFC survival/worldgen.
Patchouli	Patchouli-1.21.1-93-NEOFORGE.jar	both	https://cdn.modrinth.com/data/nU0bVIaL/versions/BIogJv2D/Patchouli-1.21.1-93-NEOFORGE.jar	Required by TFC.
Create	create-1.21.1-6.0.9.jar	both	https://cdn.modrinth.com/data/LNytGWDc/versions/n7NADxiG/create-1.21.1-6.0.9.jar	Create mechanical progression. 6.0.9 is the current 1.21.1 NeoForge target used here.
Sable	sable-neoforge-1.21.1-1.2.1.jar	both	https://cdn.modrinth.com/data/T9PomCSv/versions/ADGYo8vU/sable-neoforge-1.21.1-1.2.1.jar	Required by Create Aeronautics.
Create Aeronautics	create-aeronautics-bundled-1.21.1-1.2.1.jar	both	https://cdn.modrinth.com/data/oWaK0Q19/versions/YhZLrAFC/create-aeronautics-bundled-1.21.1-1.2.1.jar	Airships/vehicles/physics contraptions.
Just Enough Items	jei-1.21.1-neoforge-19.27.0.340.jar	both	https://cdn.modrinth.com/data/u6dRKJwZ/versions/YAcQ6elZ/jei-1.21.1-neoforge-19.27.0.340.jar	Recipe viewer.
KubeJS	kubejs-neoforge-2101.7.2-build.295.jar	both	https://cdn.modrinth.com/data/umyGl7zF/versions/YZqAKbnI/kubejs-neoforge-2101.7.2-build.295.jar	Recipe/progression scripting.
Rhino	rhino-2101.2.7-build.81.jar	both	https://cdn.modrinth.com/data/sk9knFPE/versions/ZdLtebKH/rhino-2101.2.7-build.81.jar	Required by KubeJS.
Jade	Jade-1.21.1-NeoForge-15.10.5.jar	both	https://cdn.modrinth.com/data/nvQzSEkH/versions/yd8FKCmx/Jade-1.21.1-NeoForge-15.10.5.jar	Block/entity info overlay.
